,sepal_length,sepal_width,petal_length,petal_width,species,predicted_species
71,6.1,2.8,4.0,1.3,Iris-versicolor,Iris-versicolor
72,6.3,2.5,4.9,1.5,Iris-versicolor,Iris-virginica
73,6.1,2.8,4.7,1.2,Iris-versicolor,Iris-versicolor
74,6.4,2.9,4.3,1.3,Iris-versicolor,Iris-versicolor
75,6.6,3.0,4.4,1.4,Iris-versicolor,Iris-versicolor
76,6.8,2.8,4.8,1.4,Iris-versicolor,Iris-versicolor
77,6.7,3.0,5.0,1.7,Iris-versicolor,Iris-versicolor
78,6.0,2.9,4.5,1.5,Iris-versicolor,Iris-versicolor
79,5.7,2.6,3.5,1.0,Iris-versicolor,Iris-versicolor
80,5.5,2.4,3.8,1.1,Iris-versicolor,Iris-versicolor
81,5.5,2.4,3.7,1.0,Iris-versicolor,Iris-versicolor
82,5.8,2.7,3.9,1.2,Iris-versicolor,Iris-versicolor
83,6.0,2.7,5.1,1.6,Iris-versicolor,Iris-virginica
84,5.4,3.0,4.5,1.5,Iris-versicolor,Iris-versicolor
85,6.0,3.4,4.5,1.6,Iris-versicolor,Iris-versicolor
86,6.7,3.1,4.7,1.5,Iris-versicolor,Iris-versicolor
87,6.3,2.3,4.4,1.3,Iris-versicolor,Iris-versicolor
88,5.6,3.0,4.1,1.3,Iris-versicolor,Iris-versicolor
89,5.5,2.5,4.0,1.3,Iris-versicolor,Iris-versicolor
90,5.5,2.6,4.4,1.2,Iris-versicolor,Iris-versicolor
91,6.1,3.0,4.6,1.4,Iris-versicolor,Iris-versicolor
92,5.8,2.6,4.0,1.2,Iris-versicolor,Iris-versicolor
93,5.0,2.3,3.3,1.0,Iris-versicolor,Iris-versicolor
94,5.6,2.7,4.2,1.3,Iris-versicolor,Iris-versicolor
95,5.7,3.0,4.2,1.2,Iris-versicolor,Iris-versicolor
96,5.7,2.9,4.2,1.3,Iris-versicolor,Iris-versicolor
97,6.2,2.9,4.3,1.3,Iris-versicolor,Iris-versicolor
98,5.1,2.5,3.0,1.1,Iris-versicolor,Iris-versicolor
99,5.7,2.8,4.1,1.3,Iris-versicolor,Iris-versicolor
100,6.3,3.3,6.0,2.5,Iris-virginica,Iris-virginica
101,5.8,2.7,5.1,1.9,Iris-virginica,Iris-virginica
102,7.1,3.0,5.9,2.1,Iris-virginica,Iris-virginica
103,6.3,2.9,5.6,1.8,Iris-virginica,Iris-virginica
104,6.5,3.0,5.8,2.2,Iris-virginica,Iris-virginica
105,7.6,3.0,6.6,2.1,Iris-virginica,Iris-virginica
106,4.9,2.5,4.5,1.7,Iris-virginica,Iris-versicolor
107,7.3,2.9,6.3,1.8,Iris-virginica,Iris-virginica
108,6.7,2.5,5.8,1.8,Iris-virginica,Iris-virginica
109,7.2,3.6,6.1,2.5,Iris-virginica,Iris-virginica
110,6.5,3.2,5.1,2.0,Iris-virginica,Iris-virginica
111,6.4,2.7,5.3,1.9,Iris-virginica,Iris-virginica
112,6.8,3.0,5.5,2.1,Iris-virginica,Iris-virginica
113,5.7,2.5,5.0,2.0,Iris-virginica,Iris-virginica
114,5.8,2.8,5.1,2.4,Iris-virginica,Iris-virginica
115,6.4,3.2,5.3,2.3,Iris-virginica,Iris-virginica
116,6.5,3.0,5.5,1.8,Iris-virginica,Iris-virginica
117,7.7,3.8,6.7,2.2,Iris-virginica,Iris-virginica
118,7.7,2.6,6.9,2.3,Iris-virginica,Iris-virginica
119,6.0,2.2,5.0,1.5,Iris-virginica,Iris-virginica
120,6.9,3.2,5.7,2.3,Iris-virginica,Iris-virginica
121,5.6,2.8,4.9,2.0,Iris-virginica,Iris-virginica
122,7.7,2.8,6.7,2.0,Iris-virginica,Iris-virginica
123,6.3,2.7,4.9,1.8,Iris-virginica,Iris-virginica
124,6.7,3.3,5.7,2.1,Iris-virginica,Iris-virginica
125,7.2,3.2,6.0,1.8,Iris-virginica,Iris-virginica
126,6.2,2.8,4.8,1.8,Iris-virginica,Iris-virginica
127,6.1,3.0,4.9,1.8,Iris-virginica,Iris-virginica
128,6.4,2.8,5.6,2.1,Iris-virginica,Iris-virginica
129,7.2,3.0,5.8,1.6,Iris-virginica,Iris-virginica
130,7.4,2.8,6.1,1.9,Iris-virginica,Iris-virginica
131,7.9,3.8,6.4,2.0,Iris-virginica,Iris-virginica
132,6.4,2.8,5.6,2.2,Iris-virginica,Iris-virginica
133,6.3,2.8,5.1,1.5,Iris-virginica,Iris-virginica
134,6.1,2.6,5.6,1.4,Iris-virginica,Iris-virginica
135,7.7,3.0,6.1,2.3,Iris-virginica,Iris-virginica
136,6.3,3.4,5.6,2.4,Iris-virginica,Iris-virginica
137,6.4,3.1,5.5,1.8,Iris-virginica,Iris-virginica
138,6.0,3.0,4.8,1.8,Iris-virginica,Iris-virginica
139,6.9,3.1,5.4,2.1,Iris-virginica,Iris-virginica
140,6.7,3.1,5.6,2.4,Iris-virginica,Iris-virginica
141,6.9,3.1,5.1,2.3,Iris-virginica,Iris-virginica
142,5.8,2.7,5.1,1.9,Iris-virginica,Iris-virginica
143,6.8,3.2,5.9,2.3,Iris-virginica,Iris-virginica
144,6.7,3.3,5.7,2.5,Iris-virginica,Iris-virginica
145,6.7,3.0,5.2,2.3,Iris-virginica,Iris-virginica
146,6.3,2.5,5.0,1.9,Iris-virginica,Iris-virginica
147,6.5,3.0,5.2,2.0,Iris-virginica,Iris-virginica
148,6.2,3.4,5.4,2.3,Iris-virginica,Iris-virginica
149,5.9,3.0,5.1,1.8,Iris-virginica,Iris-virginica
